SOC_Standard,O*NET-SOC Code,Title,Description,Annual_Mean_Wage,Annual_Median_Wage,Annual_10th_Percentile,Annual_25th_Percentile,Annual_75th_Percentile,Annual_90th_Percentile,Total_Employment,Task_Count,Skills_Mean_Level,Skills_Std,Skills_Count,Abilities_Mean_Level,Abilities_Std,Abilities_Count,WorkAct_Mean_Level,WorkAct_Std,WorkAct_Count
11-3061,11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",150630,139510,85500,107430,175460,219140,81240.0,18.0,2.8182857142857145,1.5603798287865789,35.0,1.7786538461538461,1.6993447743591585,52.0,3.754390243902439,1.319198712818671,41.0
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",116010,102010,61200,78360,136050,180590,213000.0,60.0,2.6837142857142857,1.425550665459829,70.0,1.874423076923077,1.4999604052528732,104.0,3.996219512195122,1.1096530880914406,82.0
11-3071,11-3071.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",116010,102010,61200,78360,136050,180590,213000.0,60.0,2.6837142857142857,1.425550665459829,70.0,1.874423076923077,1.4999604052528732,104.0,3.996219512195122,1.1096530880914406,82.0
11-3111,11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",156230,140360,81660,105210,190890,#,20070.0,22.0,2.520857142857143,1.6289898916895986,35.0,1.5186538461538461,1.5808436923961957,52.0,3.5060975609756095,1.7859771527776898,41.0
11-3121,11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",160480,140030,83790,105590,189960,#,215520.0,26.0,2.778285714285714,1.7314334179148412,35.0,1.8165384615384617,1.767483959619241,52.0,4.169756097560976,1.7244266986521608,41.0
11-3131,11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",140590,127090,75810,96110,169310,219990,44960.0,12.0,2.79,1.7148452168190165,35.0,1.8515384615384616,1.7402280497562301,52.0,3.927073170731707,1.7897475295449339,41.0
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",97240,87980,51700,67970,115200,156530,5910.0,30.0,3.0740000000000003,0.9183271235689127,35.0,2.8436538461538463,0.919093818092313,52.0,3.8653658536585365,0.6596176830595718,41.0
11-9021,11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",119660,106980,65160,83480,139330,176990,348330.0,25.0,3.1794285714285713,1.290676846731619,35.0,2.501730769230769,1.3547747387518636,52.0,4.311951219512195,0.763911707961709,41.0
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",62640,56270,37060,45310,72690,96400,71620.0,17.0,2.678857142857143,1.547680943386268,35.0,2.0023076923076926,1.4807981623390567,52.0,3.5934146341463418,1.2325595518190948,41.0
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",113360,104070,72400,83840,132550,165820,319630.0,32.0,3.221142857142857,1.8028976210347532,35.0,2.036153846153846,1.8303842453624846,52.0,4.2890243902439025,1.4406783209274172,41.0
11-9033,11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",124450,103960,63820,79880,140940,212420,176420.0,27.0,2.7142857142857144,1.7557825232378763,35.0,1.7978846153846153,1.8001561332485576,52.0,3.8153658536585366,1.7001971908590126,41.0
11-9039,11-9039.00,"Education Administrators, All Other",All education administrators not listed separately.,99460,89040,49490,65180,121720,158050,53330.0,,,,,,,,,,
11-9041,11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",175710,167740,111450,134930,207210,#,210340.0,37.0,2.9375714285714287,1.1888289643250702,70.0,2.284519230769231,1.6373521602617944,104.0,4.20609756097561,1.122359459262694,82.0
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",175710,167740,111450,134930,207210,#,210340.0,37.0,2.9375714285714287,1.1888289643250702,70.0,2.284519230769231,1.6373521602617944,104.0,4.20609756097561,1.122359459262694,82.0
11-9051,11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",72370,65310,42380,53090,82300,105420,244230.0,28.0,2.6754285714285713,1.2077430162403386,35.0,2.1736538461538464,1.1798122629754577,52.0,3.194390243902439,0.7902153148999573,41.0
11-9071,11-9071.00,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",102480,85580,51670,70190,120490,165220,4620.0,19.0,2.613714285714286,1.450827523933042,35.0,2.0746153846153845,1.410424024044475,52.0,3.4226829268292684,1.0111256707013323,41.0
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",87060,77180,45320,58380,101750,134680,36700.0,17.0,2.55,1.4276842623427553,35.0,2.025,1.2386290650490626,52.0,3.7173170731707317,1.1306635759372543,41.0
11-9081,11-9081.00,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",77460,68130,39490,50040,90670,126990,41350.0,24.0,2.829142857142857,1.3697474465122723,35.0,2.3032692307692306,1.1245194549339228,52.0,3.7748780487804883,1.1096849146294174,41.0
11-9111,11-9111.00,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",137730,117960,69680,88560,162420,219080,565840.0,18.0,2.903142857142857,1.5269900639696987,35.0,1.848076923076923,1.6861070587523979,52.0,4.254146341463415,1.4162326355683164,41.0
11-9121,11-9121.00,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",173500,161180,79830,114110,214820,#,100870.0,70.0,2.901047619047619,1.4452088775099954,105.0,1.9632051282051282,1.6786734344673577,156.0,3.9077235772357723,1.2778162808300384,123.0
11-9121,11-9121.01,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",173500,161180,79830,114110,214820,#,100870.0,70.0,2.901047619047619,1.4452088775099954,105.0,1.9632051282051282,1.6786734344673577,156.0,3.9077235772357723,1.2778162808300384,123.0
11-9121,11-9121.02,Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",173500,161180,79830,114110,214820,#,100870.0,70.0,2.901047619047619,1.4452088775099954,105.0,1.9632051282051282,1.6786734344673577,156.0,3.9077235772357723,1.2778162808300384,123.0
11-9131,11-9131.00,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",93760,92730,81430,87150,99590,109140,13810.0,13.0,2.517714285714286,1.2842509506329673,35.0,1.8198076923076922,1.274700257553255,52.0,3.7921951219512193,1.023920192678907,41.0
11-9141,11-9141.00,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",82720,66700,39360,49530,95760,141040,296640.0,27.0,2.378,1.4226834627892873,35.0,1.6076923076923075,1.5330305950729957,52.0,3.6151219512195123,1.27461782890249,41.0
11-9151,11-9151.00,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",86100,78240,50020,62420,100600,129820,195490.0,16.0,2.935142857142857,1.5030309993057194,35.0,1.951730769230769,1.6390046251879924,52.0,3.5014634146341463,1.3999456435440802,41.0
11-9161,11-9161.00,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",97700,86130,51260,64470,119690,160420,12570.0,23.0,3.028285714285714,1.6970328530118917,35.0,2.2375,1.518815166438603,52.0,4.551707317073171,0.9737296915443844,41.0
11-9171,11-9171.00,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",85650,76830,45820,59780,99330,132470,13120.0,23.0,2.428,1.335091536848581,35.0,2.0503846153846155,1.1498012812766123,52.0,4.25,1.1274684031049385,41.0
11-9179,11-9179.00,"Personal Service Managers, All Other",All personal service managers not listed separately.,70620,61340,36880,47670,82890,111130,10490.0,45.0,2.624142857142857,1.3322482826194386,70.0,2.2325961538461536,1.2421020354193253,104.0,3.6270731707317077,1.1233190325552815,82.0
11-9179,11-9179.01,Fitness and Wellness Coordinators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",70620,61340,36880,47670,82890,111130,10490.0,45.0,2.624142857142857,1.3322482826194386,70.0,2.2325961538461536,1.2421020354193253,104.0,3.6270731707317077,1.1233190325552815,82.0
11-9179,11-9179.02,Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",70620,61340,36880,47670,82890,111130,10490.0,45.0,2.624142857142857,1.3322482826194386,70.0,2.2325961538461536,1.2421020354193253,104.0,3.6270731707317077,1.1233190325552815,82.0
11-9199,11-9199.00,"Managers, All Other",All managers not listed separately.,149890,136550,68860,100010,179190,227590,630980.0,137.0,2.7504761904761907,1.3801812383258103,210.0,2.036570512820513,1.5119926062366202,312.0,3.951910569105691,1.317221878683981,246.0
11-9199,11-9199.01,Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",149890,136550,68860,100010,179190,227590,630980.0,137.0,2.7504761904761907,1.3801812383258103,210.0,2.036570512820513,1.5119926062366202,312.0,3.951910569105691,1.317221878683981,246.0
11-9199,11-9199.02,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",149890,136550,68860,100010,179190,227590,630980.0,137.0,2.7504761904761907,1.3801812383258103,210.0,2.036570512820513,1.5119926062366202,312.0,3.951910569105691,1.317221878683981,246.0
11-9199,11-9199.08,Loss Prevention Managers,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",149890,136550,68860,100010,179190,227590,630980.0,137.0,2.7504761904761907,1.3801812383258103,210.0,2.036570512820513,1.5119926062366202,312.0,3.951910569105691,1.317221878683981,246.0
11-9199,11-9199.09,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",149890,136550,68860,100010,179190,227590,630980.0,137.0,2.7504761904761907,1.3801812383258103,210.0,2.036570512820513,1.5119926062366202,312.0,3.951910569105691,1.317221878683981,246.0
11-9199,11-9199.10,Wind Energy Development Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",149890,136550,68860,100010,179190,227590,630980.0,137.0,2.7504761904761907,1.3801812383258103,210.0,2.036570512820513,1.5119926062366202,312.0,3.951910569105691,1.317221878683981,246.0
11-9199,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,149890,136550,68860,100010,179190,227590,630980.0,137.0,2.7504761904761907,1.3801812383258103,210.0,2.036570512820513,1.5119926062366202,312.0,3.951910569105691,1.317221878683981,246.0
13-1011,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",165600,96310,48530,63100,168850,#,14220.0,14.0,2.1931428571428575,1.5847467257811103,35.0,1.5675000000000001,1.5531648587421014,52.0,2.8646341463414635,1.5993765934903754,41.0
13-1021,13-1021.00,"Buyers and Purchasing Agents, Farm Products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",,,,,,,,12.0,2.4425714285714286,1.1626702098216515,35.0,1.8605769230769231,1.3562107151068885,52.0,3.364878048780488,1.1808876363804042,41.0
13-1022,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.",,,,,,,,20.0,2.5185714285714287,1.4727827659333377,35.0,1.8748076923076922,1.4438123423560512,52.0,3.1187804878048784,1.1358415275071414,41.0
13-1023,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.",,,,,,,,19.0,2.5922857142857145,1.5428660986356943,35.0,1.6248076923076922,1.6094713422451161,52.0,3.8446341463414635,1.40538446263109,41.0
13-1031,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,78770,76790,47810,60100,95990,112150,305020.0,29.0,2.379714285714286,1.4050088668639733,35.0,1.853269230769231,1.6277492232947468,52.0,3.142195121951219,1.4110377602940363,41.0
13-1032,13-1032.00,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,77050,76650,56690,64280,86430,101800,7790.0,7.0,2.1719999999999997,1.103003386480856,35.0,1.9809615384615387,1.1599142287684672,52.0,3.2878048780487807,1.0727569906440177,41.0
13-1041,13-1041.00,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",84980,78420,46230,59130,104800,130030,397770.0,146.0,2.4657551020408164,1.4445448334491962,245.0,2.15521978021978,1.4812286263688694,364.0,3.509268292682927,1.3761199461126319,287.0
13-1041,13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",84980,78420,46230,59130,104800,130030,397770.0,146.0,2.4657551020408164,1.4445448334491962,245.0,2.15521978021978,1.4812286263688694,364.0,3.509268292682927,1.3761199461126319,287.0
13-1041,13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",84980,78420,46230,59130,104800,130030,397770.0,146.0,2.4657551020408164,1.4445448334491962,245.0,2.15521978021978,1.4812286263688694,364.0,3.509268292682927,1.3761199461126319,287.0
13-1041,13-1041.04,Government Property Inspectors and Investigators,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,84980,78420,46230,59130,104800,130030,397770.0,146.0,2.4657551020408164,1.4445448334491962,245.0,2.15521978021978,1.4812286263688694,364.0,3.509268292682927,1.3761199461126319,287.0
13-1041,13-1041.06,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",84980,78420,46230,59130,104800,130030,397770.0,146.0,2.4657551020408164,1.4445448334491962,245.0,2.15521978021978,1.4812286263688694,364.0,3.509268292682927,1.3761199461126319,287.0
13-1041,13-1041.07,Regulatory Affairs Specialists,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",84980,78420,46230,59130,104800,130030,397770.0,146.0,2.4657551020408164,1.4445448334491962,245.0,2.15521978021978,1.4812286263688694,364.0,3.509268292682927,1.3761199461126319,287.0
13-1041,13-1041.08,Customs Brokers,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.,84980,78420,46230,59130,104800,130030,397770.0,146.0,2.4657551020408164,1.4445448334491962,245.0,2.15521978021978,1.4812286263688694,364.0,3.509268292682927,1.3761199461126319,287.0
13-1051,13-1051.00,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",83160,77070,46330,59830,99630,128640,219530.0,14.0,2.4245714285714284,1.5353967543528648,35.0,1.723076923076923,1.6986125115973485,52.0,3.4534146341463416,1.5858272443051569,41.0
13-1071,13-1071.00,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",79730,72910,45440,55870,97270,126540,917460.0,26.0,2.1677142857142857,1.5463202729559689,35.0,1.5796153846153846,1.5444092233506113,52.0,2.971463414634146,1.4071541510716048,41.0
13-1074,13-1074.00,Farm Labor Contractors,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",51910,48690,29800,32860,58250,86860,410.0,7.0,2.0185714285714287,1.1544393670093027,35.0,2.172884615384615,0.7943731936181286,52.0,2.237560975609756,0.7442068949149991,41.0
13-1075,13-1075.00,Labor Relations Specialists,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.",97130,93500,49880,67670,123090,153440,64590.0,28.0,2.407142857142857,1.7679841818372954,35.0,1.7071153846153846,1.7292243943552215,52.0,3.4109756097560973,1.6239516693517217,41.0
13-1081,13-1081.00,Logisticians,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.",87600,80880,49260,62920,104330,132110,235640.0,83.0,2.8175238095238093,1.4189790350218365,105.0,1.8816666666666668,1.7415661595736303,156.0,3.7333333333333334,1.2162274826764468,123.0
13-1081,13-1081.01,Logistics Engineers,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",87600,80880,49260,62920,104330,132110,235640.0,83.0,2.8175238095238093,1.4189790350218365,105.0,1.8816666666666668,1.7415661595736303,156.0,3.7333333333333334,1.2162274826764468,123.0
13-1081,13-1081.02,Logistics Analysts,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",87600,80880,49260,62920,104330,132110,235640.0,83.0,2.8175238095238093,1.4189790350218365,105.0,1.8816666666666668,1.7415661595736303,156.0,3.7333333333333334,1.2162274826764468,123.0
